url_entropy,domain_extension
-5.512887953037574,1.0
-3.943465189601647,1.0
-4.041336376912016,1.0
-4.122231964125025,6.0
-4.604764945046352,15.0
-4.889056252123404,15.0
-4.1629344866142315,6.0
-4.1768290892484226,6.0
-4.103909910282364,1.0
-4.208694969562842,45.0
-4.431623565847431,9.0
-4.135564959585626,45.0
-4.096891932467571,1.0
-4.79721424170025,9.0
-3.966759974483215,1.0
-3.8796718834458677,59.0
-4.686929383895664,1.0
-4.153062297660665,1.0
-4.043063314817098,61.0
-4.235981390822669,1.0
-4.284683810317086,1.0
-4.254177320667444,10.0
-4.262896967430973,10.0
-3.8573068568981284,1.0
-4.1000933078165485,10.0
-4.220678282808599,10.0
-4.214204862080625,10.0
-4.241076880026372,10.0
-4.233521852064552,10.0
-4.33814184707917,1.0
-4.668555956977446,1.0
-5.610237764022234,1.0
-4.1162996057016965,1.0
-4.163438256246698,10.0
-4.0043444463675275,9.0
-3.827819531114783,1.0
-4.142295219190901,7.0
-4.142295219190901,7.0
-4.2359263506290326,7.0
-4.2359263506290326,7.0
-4.280394654123194,7.0
-4.237291339955158,7.0
-3.9302703722934536,7.0
-4.208966082694623,7.0
-4.315824333525708,7.0
-3.8867295489507776,57.0
-4.249729716863357,62.0
-3.796960730356965,63.0
-4.208410187268525,7.0
-4.137537511266052,7.0
-3.9232517969803373,7.0
-4.142295219190901,7.0
-4.208966082694623,7.0
-4.280394654123194,7.0
-3.9302703722934536,7.0
-4.28022625367366,7.0
-4.254195650150781,7.0
-3.912113890972229,7.0
-4.039148671903071,7.0
-4.280394654123194,7.0
-4.110577243331642,7.0
-3.390805482076982,64.0
-4.2817276788697365,7.0
-4.208410187268525,7.0
-3.986187965046303,7.0
-4.106377316818026,7.0
-4.032303242743953,7.0
-4.1898980954642875,7.0
-4.25476786960918,1.0
-4.2544418457133455,31.0
-4.389364858634393,1.0
-4.083072692981251,9.0
-4.207435516759526,1.0
-3.7979026896829464,59.0
-4.257319115016275,1.0
-4.083587370023807,5.0
-4.1217079115480395,1.0
-4.224117662343593,1.0
-4.532224909100312,59.0
-4.171474187957335,1.0
-4.063749485074332,9.0
-3.940759832540089,1.0
-4.083274571476653,1.0
-4.443742552530725,1.0
-4.269328418396573,1.0
-4.099665973303956,31.0
-4.321721231045241,9.0
-3.9946803684089085,59.0
-4.688339901158579,59.0
-3.9790978911348054,31.0
-3.928414007174855,1.0
-4.570971605849697,59.0
-3.752600468355706,1.0
-4.054229296672175,1.0
-4.484255144794799,1.0
-4.106949132758153,1.0
-4.20667477350927,1.0
-3.9146892241642455,9.0
-4.0964393446710154,1.0
-4.160704752887783,1.0
-4.373796296941799,56.0
-4.571860873964196,47.0
-4.671402149457916,15.0
-4.280639062229566,59.0
-4.9274438242169545,1.0
-3.783454806895498,63.0
-3.914159445145515,17.0
-3.897849986899739,17.0
-3.797416579791908,17.0
-3.663532754804255,65.0
-3.5780011510322707,66.0
-4.430851901568091,6.0
-3.2998963911678914,11.0
-4.246990617768318,67.0
-3.840156860408859,23.0
-4.396291529045928,1.0
-4.711306145999518,1.0
-4.099852447708881,6.0
-3.8757315032041886,17.0
-4.639782100892351,6.0
-4.4117384298164914,6.0
-3.4906015629507228,68.0
-4.127986806877676,17.0
-3.8518232255517657,11.0
-4.663531187036944,6.0
-4.294828322123201,6.0
-5.195561128679186,1.0
-4.737257118627394,6.0
-4.3072035270767,6.0
-4.71036546976076,6.0
-4.256297888280896,6.0
-3.893660689688186,3.0
-3.8164280318460246,1.0
-4.399417982535899,1.0
-4.353526150883066,6.0
-4.0810485203151945,1.0
-4.753943056064986,6.0
-3.9790978911348054,7.0
-4.039148671903071,7.0
-4.209867121904036,7.0
-4.209867121904036,7.0
-4.306256857196538,7.0
-4.310443057719024,7.0
-4.306256857196538,7.0
-4.23636898364495,7.0
-3.873140679513133,7.0
-4.134336113194451,7.0
-4.521678641138951,29.0
-4.056020968057882,7.0
-4.28022625367366,7.0
-4.5562191132304815,29.0
-4.20483401847097,17.0
-4.219885615610767,17.0
-4.14967389677155,17.0
-4.167896517797226,17.0
-4.989205009224785,9.0
-4.142295219190901,7.0
-4.21126073643228,7.0
-4.06610893983748,7.0
-4.307354922057604,7.0
-4.28022625367366,7.0
-3.932874360347046,1.0
-4.306020262209255,1.0
-4.317830122801753,6.0
-4.693081574596129,6.0
-3.8330709070912796,69.0
-3.8636085007312415,1.0
-4.5964981767230775,6.0
-4.547202075302561,6.0
-4.003928031846025,57.0
-4.599986634224849,6.0
-4.175273297885966,5.0
-4.17000215169173,63.0
-4.636608585530178,22.0
-4.418201444127885,22.0
-4.084962500721156,22.0
-4.001822825622231,22.0
-4.103465189601647,20.0
-4.307759484882024,6.0
-5.1653873977878035,22.0
-4.50230529714325,38.0
-3.659536598501246,22.0
-4.0879293469851055,27.0
-4.407869148100393,1.0
-3.7962176025900565,64.0
-3.3716535224393334,64.0
-4.4855758319130485,1.0
-4.343514802543705,1.0
-3.9357276594930424,1.0
-4.106377316818026,7.0
-3.606936732175322,64.0
-3.9462227768165996,70.0
-3.974536289433513,5.0
-4.188331131693838,1.0
-4.878863975641805,1.0
-4.276053780685059,6.0
-4.362161613055609,6.0
-4.435825899299495,6.0
-4.295558089016606,6.0
-4.26370835335654,6.0
-4.115311532225102,23.0
-4.396853998737205,1.0
-4.397230421381279,6.0
-3.9701755214643453,1.0
-4.326360407952694,1.0
-4.012188403968661,7.0
-4.1162646156680225,7.0
-4.410229231693701,1.0
-4.5894194463475255,1.0
-4.083274571476653,1.0
-4.28022625367366,7.0
-4.084829508503262,9.0
-4.090712554205767,9.0
-3.983494986857732,9.0
-4.056020968057882,7.0
-4.258917080795826,71.0
-4.147850219462241,9.0
-4.141105590449127,9.0
-4.13569955274647,9.0
-4.115311532225102,9.0
-5.244796013578297,1.0
-4.110577243331642,7.0
-4.13294404498096,7.0
-4.282484261342599,7.0
-4.349191770915039,7.0
-4.110577243331642,7.0
-3.967720100474499,7.0
-4.307354922057604,7.0
-4.073329701949522,7.0
-4.209867121904036,7.0
-4.237291339955158,7.0
-4.306256857196538,7.0
-4.127986806877676,57.0
-4.0855880165740865,57.0
-4.142295219190901,7.0
-4.004364184708142,7.0
-4.28022625367366,7.0
-4.375222374437917,7.0
-4.153333514048231,6.0
-3.93299930663729,59.0
-3.938073894737866,7.0
-4.3812785728561146,1.0
-4.8609429299846045,1.0
-4.204827608309817,17.0
-3.938073894737866,17.0
